COUNTY_NAME,POPULATION,STATE
"BAILEY COUNTY, TX",7165,TX
"BANDERA COUNTY, TX",20485,TX
"BASTROP COUNTY, TX",74171,TX
"BAYLOR COUNTY, TX",3726,TX
"BEE COUNTY, TX",31861,TX
"BELL COUNTY, TX",310235,TX
"BEXAR COUNTY, TX",1714773,TX
"BLANCO COUNTY, TX",10497,TX
"BORDEN COUNTY, TX",641,TX
"BOSQUE COUNTY, TX",18212,TX
"BOWIE COUNTY, TX",92565,TX
"BRAZORIA COUNTY, TX",313166,TX
"BRAZOS COUNTY, TX",194851,TX
"BREWSTER COUNTY, TX",9232,TX
"BRISCOE COUNTY, TX",1637,TX
"BROOKS COUNTY, TX",7223,TX
"BROWN COUNTY, TX",38106,TX
"BURLESON COUNTY, TX",17187,TX
"BURNET COUNTY, TX",42750,TX
"CALDWELL COUNTY, TX",38066,TX
"CALHOUN COUNTY, TX",21381,TX
"CALLAHAN COUNTY, TX",13544,TX
"CAMERON COUNTY, TX",406220,TX
"CAMP COUNTY, TX",12401,TX
"CARSON COUNTY, TX",6182,TX
"CASS COUNTY, TX",30464,TX
"CASTRO COUNTY, TX",8062,TX
"CHAMBERS COUNTY, TX",35096,TX
"CHEROKEE COUNTY, TX",50845,TX
"CHILDRESS COUNTY, TX",7041,TX
"CLAY COUNTY, TX",10752,TX
"COCHRAN COUNTY, TX",3127,TX
"COKE COUNTY, TX",3320,TX
"COLEMAN COUNTY, TX",8895,TX
"COLLIN COUNTY, TX",782341,TX
"COLLINGSWORTH COUNTY, TX",3057,TX
"COLORADO COUNTY, TX",20874,TX
"COMAL COUNTY, TX",108472,TX
"COMANCHE COUNTY, TX",13974,TX
"CONCHO COUNTY, TX",4087,TX
"COOKE COUNTY, TX",38437,TX
"CORYELL COUNTY, TX",75388,TX
"COTTLE COUNTY, TX",1505,TX
"CRANE COUNTY, TX",4375,TX
"CROCKETT COUNTY, TX",3719,TX
"CROSBY COUNTY, TX",6059,TX
"CULBERSON COUNTY, TX",2398,TX
"DALLAM COUNTY, TX",6703,TX
"DALLAS COUNTY, TX",2368139,TX
"DAWSON COUNTY, TX",13833,TX
"DEAF SMITH COUNTY, TX",19372,TX
"DELTA COUNTY, TX",5231,TX
"DENTON COUNTY, TX",662614,TX
"DEWITT COUNTY, TX",20097,TX
"DICKENS COUNTY, TX",2444,TX
"DIMMIT COUNTY, TX",9996,TX
"DONLEY COUNTY, TX",3677,TX
"DUVAL COUNTY, TX",11782,TX
"EASTLAND COUNTY, TX",18583,TX
"ECTOR COUNTY, TX",137130,TX
"EDWARDS COUNTY, TX",2002,TX
"ELLIS COUNTY, TX",149610,TX
"EL PASO COUNTY, TX",800647,TX
"ERATH COUNTY, TX",37890,TX
"FALLS COUNTY, TX",17866,TX
"FANNIN COUNTY, TX",33915,TX
"FAYETTE COUNTY, TX",24554,TX
"FISHER COUNTY, TX",3974,TX
"FLOYD COUNTY, TX",6446,TX
"FOARD COUNTY, TX",1336,TX
"FORT BEND COUNTY, TX",585375,TX
"FRANKLIN COUNTY, TX",10605,TX
"FREESTONE COUNTY, TX",19816,TX
"FRIO COUNTY, TX",17217,TX
"GAINES COUNTY, TX",17526,TX
"GALVESTON COUNTY, TX",291309,TX
"GARZA COUNTY, TX",6461,TX
"GILLESPIE COUNTY, TX",24837,TX
"GLASSCOCK COUNTY, TX",1226,TX
"GOLIAD COUNTY, TX",7210,TX
"GONZALES COUNTY, TX",19807,TX
"GRAY COUNTY, TX",22535,TX
"GRAYSON COUNTY, TX",120877,TX
"GREGG COUNTY, TX",121730,TX
"GRIMES COUNTY, TX",26604,TX
"GUADALUPE COUNTY, TX",131533,TX
"HALE COUNTY, TX",36273,TX
"HALL COUNTY, TX",3353,TX
"HAMILTON COUNTY, TX",8517,TX
"HANSFORD COUNTY, TX",5613,TX
"HARDEMAN COUNTY, TX",4139,TX
"HARDIN COUNTY, TX",54635,TX
"HARRIS COUNTY, TX",4092459,TX
"HARRISON COUNTY, TX",65631,TX
"HARTLEY COUNTY, TX",6062,TX
"HASKELL COUNTY, TX",5899,TX
"HAYS COUNTY, TX",157107,TX
"HEMPHILL COUNTY, TX",3807,TX
"HENDERSON COUNTY, TX",78532,TX
"HIDALGO COUNTY, TX",774769,TX
"HILL COUNTY, TX",35089,TX
"HOCKLEY COUNTY, TX",22935,TX
"HOOD COUNTY, TX",51182,TX
"HOPKINS COUNTY, TX",35161,TX
"HOUSTON COUNTY, TX",23732,TX
"HOWARD COUNTY, TX",35012,TX
"HUDSPETH COUNTY, TX",3476,TX
"HUNT COUNTY, TX",86129,TX
"HUTCHINSON COUNTY, TX",22150,TX
"IRION COUNTY, TX",1599,TX
"JACK COUNTY, TX",9044,TX
"JACKSON COUNTY, TX",14075,TX
"JASPER COUNTY, TX",35710,TX
"JEFF DAVIS COUNTY, TX",2342,TX
"JEFFERSON COUNTY, TX",252273,TX
"JIM HOGG COUNTY, TX",5300,TX
"JIM WELLS COUNTY, TX",40838,TX
"JOHNSON COUNTY, TX",150934,TX
"JONES COUNTY, TX",20202,TX
"KARNES COUNTY, TX",14824,TX
"KAUFMAN COUNTY, TX",103350,TX
"KENDALL COUNTY, TX",33410,TX
"KENEDY COUNTY, TX",416,TX
"KENT COUNTY, TX",808,TX
"KERR COUNTY, TX",49625,TX
"KIMBLE COUNTY, TX",4607,TX
"KING COUNTY, TX",286,TX
"KINNEY COUNTY, TX",3598,TX
"KLEBERG COUNTY, TX",32061,TX
"KNOX COUNTY, TX",3719,TX
"LAMAR COUNTY, TX",49793,TX
"LAMB COUNTY, TX",13977,TX
"LAMPASAS COUNTY, TX",19677,TX
"LA SALLE COUNTY, TX",6886,TX
"LAVACA COUNTY, TX",19263,TX
"LEE COUNTY, TX",16612,TX
"LEON COUNTY, TX",16801,TX
"LIBERTY COUNTY, TX",75643,TX
"LIMESTONE COUNTY, TX",23384,TX
"LIPSCOMB COUNTY, TX",3302,TX
"LIVE OAK COUNTY, TX",11531,TX
"LLANO COUNTY, TX",19301,TX
"LOVING COUNTY, TX",82,TX
"LUBBOCK COUNTY, TX",278831,TX
